,TSM_Ret,SOX_Ret,TSM_Ret_lag2,SOX_Ret_lag2,TSM_SOX_Spread,NetOI_Diff_lag1,NetOI_Diff_lag2,Open_Gap,Gap_Direction,Intraday_Ret,Intraday_Point,Intra_Ret_lag1,TX_Ret,TX_Ret_lag1,TX_Vol5,TX_Mom5,MA5,MA20,RSI
2024-03-26,-0.002208020093863126,-0.0034224439641068866,0.007785831527034211,0.0021170179216929656,0.0012144238702437608,256.0,-9574.0,49.0,1,-0.0045963458486917835,-93,-0.0012349644664889409,-0.0021772486209860535,-0.0005435722714327001,0.012890229783973382,0.01554203140213987,20134.2,19711.45,68.81243063263041
2024-03-27,-0.009961839517554092,-0.00813077391173145,-0.002208020093863126,-0.0034224439641068866,-0.0018310656058226418,-1290.0,256.0,-2.0,0,0.003758101639110003,76,-0.0045963458486917835,0.0036590230697235043,-0.0021772486209860535,0.012843153023917137,0.01597876908836422,20237.0,19781.15,66.46778042959427
2024-03-28,-0.015606563351607088,0.00985880628928394,-0.009961839517554092,-0.00813077391173145,-0.02546536964089103,3136.0,-1290.0,-23.0,0,-0.0017309170761626975,-35,0.003758101639110003,-0.0028667477126087674,0.0036590230697235043,0.011784248590174434,0.025696274868841646,20224.8,19843.0,62.46973365617433
2024-03-29,-0.0046932035850881385,0.0010728567500564732,-0.015606563351607088,0.00985880628928394,-0.005766060335144612,-2389.0,3136.0,23.0,1,0.002666273243003688,54,-0.0017309170761626975,0.0038040704915769203,-0.0028667477126087674,0.002549741355370662,-0.003014804467968714,20232.4,19908.95,67.09013914095584
2024-04-08,0.012098945033726532,0.013171729516833574,-0.016615920419438473,-0.03052757583873359,-0.0010727844831070425,-10778.0,7635.0,55.0,1,0.002251922428130566,46,-0.0010314596066622707,0.004951111856758605,-0.008514437814918521,0.007486932027300645,0.004333914688037718,20378.0,20093.4,71.40309155766944
2024-04-09,0.010064996819377774,0.0012981993448682424,0.012098945033726532,0.013171729516833574,0.008766797474509532,1612.0,-10778.0,88.0,1,0.016227536621756754,336,0.002251922428130566,0.0205214829090492,0.004951111856758605,0.0073269248440276736,0.012151774257405091,20496.8,20147.55,74.90871152842985
2024-04-10,0.01811351974898095,0.009368670855805152,0.010064996819377774,0.0012981993448682424,0.0087448488931758,11018.0,1612.0,-52.0,0,0.0013917886728224851,29,0.016227536621756754,-0.0011024566724763052,0.0205214829090492,0.011002758231784825,0.02886918667487737,20609.4,20204.35,76.0593220338983
2024-04-11,0.0056238048612002635,-0.01665676169602447,0.01811351974898095,0.009368670855805152,0.022280566557224733,-6874.0,11018.0,-145.0,0,0.002267301195601844,47,0.0013917886728224851,-0.004711094185860374,-0.0011024566724763052,0.011204237003564738,0.027372330470568147,20655.4,20244.25,76.95605573419078
2024-04-12,0.006679947430370923,0.023930886699980065,0.0056238048612002635,-0.01665676169602447,-0.01725093926960914,-11254.0,-6874.0,-8.0,0,0.0004819277201708726,10,0.002267301195601844,9.636696547877597e-05,-0.004711094185860374,0.011365625707145992,0.011144606092552606,20736.6,20285.65,68.17172464840858
2024-04-15,-0.03230994043103095,-0.033432456480112324,0.006679947430370923,0.023930886699980065,0.0011225160490813749,955.0,-11254.0,-211.0,0,-0.0017538735860965701,-36,0.0004819277201708726,-0.011972127583547877,9.636696547877597e-05,0.00988696899190408,0.019755410872949904,20748.2,20314.1,58.43908629441625
2024-04-16,-0.016840217525839977,-0.013996123638368609,-0.03230994043103095,-0.033432456480112324,-0.002844093887471368,-5794.0,955.0,-230.0,0,-0.01615704655999426,-325,-0.0017538735860965701,-0.027435545951060403,-0.011972127583547877,0.012106588768033923,0.0028321714326434207,20564.0,20325.25,43.443396226415096
